Date,Open,High,Low,Close,Adj Close,Volume
2016-04-22,null,null,null,null,null,null
2016-04-25,null,null,null,null,null,null
2016-04-26,null,null,null,null,null,null
2016-04-27,1.500000,1.510000,1.500000,1.500000,1.298355,107700
2016-04-28,1.500000,1.520000,1.490000,1.500000,1.298355,82900
2016-04-29,1.490000,1.490000,1.490000,1.490000,1.289699,37000
2016-05-03,1.490000,1.490000,1.480000,1.490000,1.289699,95300
2016-05-04,1.490000,1.490000,1.480000,1.480000,1.281044,62300
2016-05-05,1.480000,1.480000,1.480000,1.480000,1.281044,94700
2016-05-06,1.470000,1.500000,1.470000,1.500000,1.298355,37400
2016-05-09,1.500000,1.510000,1.490000,1.500000,1.298355,263800
2016-05-10,1.500000,1.500000,1.490000,1.490000,1.289699,151500
2016-05-11,null,null,null,null,null,null
2016-05-12,1.490000,1.490000,1.480000,1.490000,1.289699,71500
2016-05-13,1.480000,1.480000,1.480000,1.480000,1.281044,58300
2016-05-16,1.490000,1.490000,1.450000,1.450000,1.255077,405100
2016-05-17,1.450000,1.470000,1.450000,1.460000,1.263732,524600
2016-05-18,1.480000,1.510000,1.470000,1.500000,1.298355,642800
2016-05-19,1.500000,1.500000,1.480000,1.480000,1.281044,580200
2016-05-20,null,null,null,null,null,null
2016-05-23,1.490000,1.500000,1.490000,1.500000,1.298355,281000
2016-05-24,null,null,null,null,null,null
2016-05-25,null,null,null,null,null,null
2016-05-26,1.470000,1.480000,1.470000,1.470000,1.272388,254800
2016-05-27,1.470000,1.490000,1.470000,1.480000,1.281044,244000
2016-05-30,null,null,null,null,null,null
2016-05-31,1.470000,1.490000,1.470000,1.470000,1.272388,2918500
2016-06-01,1.470000,1.480000,1.470000,1.470000,1.272388,98400
2016-06-02,1.480000,1.490000,1.480000,1.490000,1.289699,96900
2016-06-03,1.470000,1.490000,1.470000,1.470000,1.272388,89400
2016-06-06,1.480000,1.480000,1.460000,1.470000,1.298896,95800
2016-06-07,null,null,null,null,null,null
2016-06-08,null,null,null,null,null,null
2016-06-09,null,null,null,null,null,null
2016-06-10,1.480000,1.490000,1.470000,1.470000,1.298896,11900
2016-06-13,1.480000,1.490000,1.460000,1.470000,1.298896,195900
2016-06-14,1.470000,1.480000,1.470000,1.480000,1.307732,66700
2016-06-15,1.480000,1.480000,1.470000,1.480000,1.307732,313400
2016-06-16,null,null,null,null,null,null
2016-06-17,null,null,null,null,null,null
2016-06-20,null,null,null,null,null,null
2016-06-21,null,null,null,null,null,null
2016-06-23,1.490000,1.490000,1.480000,1.490000,1.316568,67900
2016-06-24,null,null,null,null,null,null
2016-06-27,1.480000,1.480000,1.460000,1.470000,1.298896,126100
2016-06-28,null,null,null,null,null,null
2016-06-29,1.470000,1.480000,1.460000,1.460000,1.290060,76300
2016-06-30,null,null,null,null,null,null
2016-07-01,null,null,null,null,null,null
2016-07-04,null,null,null,null,null,null
2016-07-05,null,null,null,null,null,null
2016-07-06,null,null,null,null,null,null
2016-07-07,null,null,null,null,null,null
2016-07-08,1.480000,1.490000,1.480000,1.480000,1.307732,22600
2016-07-11,null,null,null,null,null,null
2016-07-12,null,null,null,null,null,null
2016-07-13,1.480000,1.480000,1.480000,1.480000,1.307732,59100
2016-07-14,null,null,null,null,null,null
2016-07-15,null,null,null,null,null,null
2016-07-18,1.490000,1.490000,1.470000,1.470000,1.298896,13300
2016-07-19,null,null,null,null,null,null
2016-07-20,null,null,null,null,null,null
2016-07-21,null,null,null,null,null,null
2016-07-22,1.470000,1.480000,1.470000,1.470000,1.298896,39500
2016-07-25,null,null,null,null,null,null
2016-07-26,null,null,null,null,null,null
2016-07-27,null,null,null,null,null,null
2016-07-28,null,null,null,null,null,null
2016-07-29,null,null,null,null,null,null
2016-08-01,null,null,null,null,null,null
2016-08-02,1.470000,1.470000,1.460000,1.460000,1.290060,12900
2016-08-03,1.460000,1.470000,1.460000,1.470000,1.298896,99900
2016-08-04,1.460000,1.460000,1.450000,1.460000,1.290060,141400
2016-08-05,1.460000,1.470000,1.460000,1.460000,1.290060,15900
2016-08-08,1.460000,1.480000,1.460000,1.480000,1.307732,98000
2016-08-09,1.480000,1.480000,1.470000,1.480000,1.307732,72200
2016-08-10,1.480000,1.490000,1.480000,1.490000,1.316568,86600
2016-08-11,1.480000,1.480000,1.470000,1.480000,1.307732,23600
2016-08-12,1.480000,1.500000,1.480000,1.490000,1.316568,78600
2016-08-15,1.480000,1.500000,1.480000,1.500000,1.325404,481500
2016-08-16,1.500000,1.500000,1.490000,1.490000,1.316568,283900
2016-08-17,1.490000,1.500000,1.490000,1.490000,1.316568,95900
2016-08-18,1.500000,1.520000,1.500000,1.510000,1.334240,538400
2016-08-19,1.510000,1.520000,1.510000,1.510000,1.334240,190000
2016-08-22,1.510000,1.570000,1.500000,1.550000,1.369584,1223300
2016-08-23,1.550000,1.570000,1.540000,1.550000,1.369584,1000100
2016-08-24,1.540000,1.540000,1.530000,1.540000,1.360748,281700
2016-08-25,1.540000,1.540000,1.530000,1.530000,1.351912,194900
2016-08-26,1.540000,1.550000,1.530000,1.550000,1.369584,419300
2016-08-29,1.550000,1.560000,1.550000,1.550000,1.369584,168200
2016-08-30,1.550000,1.560000,1.540000,1.550000,1.369584,184700
2016-09-01,1.550000,1.560000,1.540000,1.550000,1.369584,169100
2016-09-02,1.540000,1.570000,1.530000,1.560000,1.378420,603400
2016-09-05,1.530000,1.530000,1.520000,1.520000,1.369411,166500
2016-09-06,1.510000,1.530000,1.500000,1.510000,1.360402,229200
2016-09-07,1.500000,1.540000,1.500000,1.510000,1.360402,46600
2016-09-08,1.510000,1.520000,1.500000,1.500000,1.351393,269400
2016-09-09,1.510000,1.510000,1.500000,1.500000,1.351393,255700
2016-09-13,1.500000,1.510000,1.480000,1.490000,1.342383,136700
2016-09-14,1.490000,1.490000,1.480000,1.490000,1.342383,128300
2016-09-15,1.490000,1.500000,1.490000,1.500000,1.351393,370300
2016-09-19,1.500000,1.510000,1.490000,1.500000,1.351393,108100
2016-09-20,1.500000,1.520000,1.500000,1.500000,1.351393,3284900
2016-09-21,1.510000,1.510000,1.500000,1.510000,1.360402,162900
2016-09-22,1.500000,1.510000,1.490000,1.490000,1.342383,170100
2016-09-23,1.500000,1.510000,1.490000,1.490000,1.342383,137000
2016-09-26,1.490000,1.500000,1.490000,1.500000,1.351393,253900
2016-09-27,1.490000,1.500000,1.490000,1.500000,1.351393,91800
2016-09-28,1.500000,1.500000,1.490000,1.490000,1.342383,102600
2016-09-29,1.500000,1.500000,1.490000,1.500000,1.351393,127300
2016-09-30,1.490000,1.500000,1.480000,1.480000,1.333374,426500
2016-10-04,1.480000,1.500000,1.480000,1.480000,1.333374,128000
2016-10-05,1.480000,1.490000,1.480000,1.490000,1.342383,37400
2016-10-06,1.490000,1.500000,1.480000,1.490000,1.342383,146700
2016-10-07,1.500000,1.500000,1.490000,1.490000,1.342383,52400
2016-10-10,1.500000,1.500000,1.490000,1.490000,1.342383,23100
2016-10-11,1.490000,1.500000,1.490000,1.490000,1.342383,60100
2016-10-12,1.490000,1.500000,1.490000,1.500000,1.351393,48700
2016-10-13,1.490000,1.500000,1.490000,1.500000,1.351393,167100
2016-10-14,1.490000,1.500000,1.490000,1.490000,1.342383,98700
2016-10-17,1.490000,1.490000,1.490000,1.490000,1.342383,55000
2016-10-18,1.490000,1.500000,1.480000,1.500000,1.351393,208500
2016-10-19,1.490000,1.490000,1.480000,1.480000,1.333374,128300
2016-10-20,1.490000,1.490000,1.480000,1.490000,1.342383,133000
2016-10-21,1.490000,1.490000,1.480000,1.490000,1.342383,56300
2016-10-24,1.490000,1.500000,1.490000,1.490000,1.342383,134400
2016-10-25,1.500000,1.500000,1.480000,1.500000,1.351393,210000
2016-10-26,1.490000,1.500000,1.480000,1.500000,1.351393,228800
2016-10-27,1.490000,1.500000,1.490000,1.500000,1.351393,84200
2016-10-28,1.490000,1.500000,1.490000,1.490000,1.342383,204300
2016-10-31,1.490000,1.490000,1.480000,1.490000,1.342383,296800
2016-11-01,1.490000,1.490000,1.480000,1.480000,1.333374,202400
2016-11-02,1.490000,1.490000,1.480000,1.480000,1.333374,169500
2016-11-03,1.480000,1.490000,1.480000,1.480000,1.333374,109200
2016-11-04,1.490000,1.500000,1.480000,1.500000,1.351393,77600
2016-11-07,1.500000,1.500000,1.490000,1.490000,1.342383,54300
2016-11-08,1.490000,1.500000,1.490000,1.500000,1.351393,314900
2016-11-09,1.490000,1.490000,1.480000,1.480000,1.333374,86900
2016-11-10,1.490000,1.500000,1.490000,1.490000,1.342383,128500
2016-11-11,1.490000,1.510000,1.490000,1.500000,1.351393,435700
2016-11-14,1.530000,1.550000,1.510000,1.530000,1.378420,620800
2016-11-15,1.530000,1.540000,1.520000,1.530000,1.378420,175000
2016-11-16,1.530000,1.600000,1.520000,1.600000,1.441486,1722900
2016-11-17,1.600000,1.600000,1.560000,1.570000,1.414458,1399800
2016-11-18,1.570000,1.580000,1.560000,1.580000,1.423467,476300
2016-11-21,1.580000,1.600000,1.580000,1.580000,1.423467,769900
2016-11-22,1.590000,1.600000,1.580000,1.600000,1.441486,449900
2016-11-23,1.600000,1.600000,1.580000,1.600000,1.441486,889800
2016-11-24,1.600000,1.600000,1.580000,1.600000,1.441486,681100
2016-11-25,1.590000,1.600000,1.580000,1.590000,1.432476,632900
2016-11-28,1.590000,1.610000,1.580000,1.590000,1.432476,641800
2016-11-29,1.600000,1.600000,1.570000,1.580000,1.423467,995800
2016-11-30,1.590000,1.590000,1.570000,1.580000,1.423467,1768600
2016-12-01,1.540000,1.540000,1.530000,1.540000,1.432770,284000
2016-12-02,1.540000,1.540000,1.500000,1.500000,1.395556,845300
2016-12-05,1.500000,1.510000,1.500000,1.500000,1.395556,340500
2016-12-06,1.520000,1.560000,1.510000,1.550000,1.442074,402900
2016-12-07,1.550000,1.550000,1.520000,1.530000,1.423467,503700
2016-12-08,1.530000,1.530000,1.510000,1.530000,1.423467,233200
2016-12-09,1.530000,1.550000,1.520000,1.540000,1.432770,217700
2016-12-13,1.540000,1.540000,1.520000,1.520000,1.414163,208600
2016-12-14,1.530000,1.550000,1.530000,1.540000,1.432770,276000
2016-12-15,1.530000,1.550000,1.530000,1.550000,1.442074,122200
2016-12-16,1.540000,1.560000,1.540000,1.560000,1.451378,332200
2016-12-19,1.540000,1.570000,1.540000,1.560000,1.451378,190500
2016-12-20,1.550000,1.570000,1.550000,1.570000,1.460682,337300
2016-12-21,1.570000,1.620000,1.570000,1.610000,1.497897,1421900
2016-12-22,1.600000,1.610000,1.580000,1.600000,1.488593,824200
2016-12-23,1.620000,1.650000,1.620000,1.620000,1.507200,812700
2016-12-27,1.620000,1.640000,1.610000,1.630000,1.516504,245500
2016-12-28,1.630000,1.640000,1.610000,1.640000,1.525807,1143600
2016-12-29,1.640000,1.650000,1.620000,1.640000,1.525807,846300
2016-12-30,1.630000,1.660000,1.610000,1.660000,1.544415,1651200
2017-01-02,1.660000,1.660000,1.660000,1.660000,1.544415,0
2017-01-03,1.660000,1.670000,1.640000,1.670000,1.553719,366400
2017-01-04,1.660000,1.680000,1.650000,1.650000,1.535111,882700
2017-01-05,1.670000,1.700000,1.670000,1.670000,1.553719,962500
2017-01-06,1.680000,1.680000,1.640000,1.640000,1.525807,2266100
2017-01-09,1.670000,1.670000,1.640000,1.640000,1.525807,1359200
2017-01-10,1.640000,1.670000,1.640000,1.650000,1.535111,375700
2017-01-11,1.650000,1.670000,1.650000,1.650000,1.535111,1608500
2017-01-12,1.660000,1.680000,1.640000,1.650000,1.535111,1254400
2017-01-13,1.640000,1.660000,1.640000,1.660000,1.544415,308600
2017-01-16,1.660000,1.670000,1.650000,1.650000,1.535111,1238700
2017-01-17,1.650000,1.700000,1.650000,1.690000,1.572326,912500
2017-01-18,1.700000,1.710000,1.690000,1.690000,1.572326,839500
2017-01-19,1.690000,1.690000,1.670000,1.670000,1.553719,1341200
2017-01-20,1.670000,1.690000,1.670000,1.680000,1.563022,150900
2017-01-23,1.690000,1.690000,1.670000,1.670000,1.553719,385900
2017-01-24,1.670000,1.700000,1.670000,1.690000,1.572326,417100
2017-01-25,1.690000,1.690000,1.680000,1.680000,1.563022,1544400
2017-01-26,1.690000,1.690000,1.680000,1.680000,1.563022,232600
2017-01-27,1.690000,1.690000,1.670000,1.670000,1.553719,323100
2017-01-31,1.670000,1.690000,1.670000,1.680000,1.563022,81000
2017-02-02,1.680000,1.720000,1.680000,1.700000,1.581630,784500
2017-02-03,1.700000,1.720000,1.700000,1.720000,1.600237,2171200
2017-02-06,1.720000,1.750000,1.720000,1.750000,1.628148,868900
2017-02-07,1.750000,1.760000,1.730000,1.740000,1.618845,1903100
2017-02-08,1.740000,1.740000,1.710000,1.710000,1.590934,944600
2017-02-10,1.710000,1.740000,1.710000,1.730000,1.609541,1051600
2017-02-13,1.720000,1.750000,1.720000,1.720000,1.600237,655200
2017-02-14,1.730000,1.750000,1.730000,1.730000,1.609541,2917800
2017-02-15,1.740000,1.740000,1.720000,1.730000,1.609541,394300
2017-02-16,1.750000,1.770000,1.730000,1.730000,1.609541,2642700
2017-02-17,1.740000,1.740000,1.720000,1.720000,1.600237,1045000
2017-02-20,1.730000,1.730000,1.710000,1.720000,1.600237,1243300
2017-02-21,1.720000,1.730000,1.710000,1.720000,1.600237,1561000
2017-02-22,1.720000,1.720000,1.670000,1.690000,1.572326,2566400
2017-02-23,1.680000,1.690000,1.670000,1.670000,1.553719,1144800
2017-02-24,1.670000,1.730000,1.670000,1.730000,1.609541,849800
2017-02-27,1.720000,1.720000,1.700000,1.710000,1.590934,3648800
2017-02-28,1.710000,1.710000,1.680000,1.690000,1.572326,833100
2017-03-01,1.670000,1.670000,1.650000,1.660000,1.577076,661100
2017-03-02,1.660000,1.670000,1.650000,1.650000,1.567576,2654100
2017-03-03,1.650000,1.660000,1.630000,1.640000,1.558075,927300
2017-03-06,1.650000,1.670000,1.640000,1.650000,1.567576,3400300
2017-03-07,1.650000,1.660000,1.640000,1.660000,1.577076,3987800
2017-03-08,1.650000,1.650000,1.630000,1.640000,1.558075,1588100
2017-03-09,1.640000,1.650000,1.630000,1.640000,1.558075,3002500
2017-03-10,1.650000,1.660000,1.630000,1.650000,1.567576,1333300
2017-03-13,1.640000,1.650000,1.630000,1.630000,1.548575,1066600
2017-03-14,1.630000,1.650000,1.630000,1.640000,1.558075,575700
2017-03-15,1.640000,1.650000,1.630000,1.640000,1.558075,503800
2017-03-16,1.640000,1.660000,1.630000,1.630000,1.548575,1377400
2017-03-17,1.640000,1.650000,1.640000,1.650000,1.567576,891100
2017-03-20,1.650000,1.660000,1.640000,1.650000,1.567576,904600
2017-03-21,1.650000,1.660000,1.640000,1.640000,1.558075,2057400
2017-03-22,1.640000,1.640000,1.610000,1.630000,1.548575,2631900
2017-03-23,1.620000,1.650000,1.620000,1.640000,1.558075,1715900
2017-03-24,1.640000,1.650000,1.630000,1.640000,1.558075,379500
2017-03-27,1.640000,1.650000,1.630000,1.630000,1.548575,2072300
2017-03-28,1.640000,1.650000,1.630000,1.650000,1.567576,209400
2017-03-29,1.650000,1.650000,1.640000,1.650000,1.567576,1828400
2017-03-30,null,null,null,null,null,null
2017-03-31,null,null,null,null,null,null
2017-04-03,1.650000,1.650000,1.640000,1.640000,1.558075,1161400
2017-04-04,1.640000,1.650000,1.640000,1.650000,1.567576,409700
2017-04-05,1.650000,1.660000,1.640000,1.650000,1.567576,1536000
2017-04-06,1.670000,1.690000,1.660000,1.680000,1.596077,2837300
2017-04-07,1.680000,1.690000,1.650000,1.670000,1.586577,2592400
2017-04-10,1.670000,1.670000,1.650000,1.650000,1.567576,2078100
2017-04-11,1.660000,1.660000,1.630000,1.640000,1.558075,2040800
2017-04-12,1.640000,1.650000,1.630000,1.630000,1.548575,2304400
2017-04-13,1.640000,1.650000,1.630000,1.650000,1.567576,307400
2017-04-14,1.640000,1.650000,1.630000,1.640000,1.558075,921400
2017-04-17,1.640000,1.640000,1.630000,1.630000,1.548575,789400
2017-04-18,1.640000,1.640000,1.630000,1.630000,1.548575,529000
2017-04-19,1.630000,1.650000,1.630000,1.650000,1.567576,561000
2017-04-20,1.640000,1.650000,1.630000,1.640000,1.558075,452600
2017-04-21,1.640000,1.650000,1.640000,1.640000,1.558075,296200
2017-04-24,1.640000,1.640000,1.640000,1.640000,1.558075,0
2017-04-25,1.640000,1.650000,1.630000,1.640000,1.558075,1198900
2017-04-26,1.640000,1.650000,1.630000,1.630000,1.548575,600300
2017-04-27,1.640000,1.640000,1.630000,1.640000,1.558075,1032900
2017-04-28,1.640000,1.640000,1.630000,1.640000,1.558075,489400
2017-05-02,1.640000,1.650000,1.630000,1.640000,1.558075,964000
2017-05-03,1.640000,1.650000,1.640000,1.640000,1.558075,568800
2017-05-04,1.640000,1.640000,1.630000,1.640000,1.558075,379500
2017-05-05,1.640000,1.640000,1.630000,1.640000,1.558075,271500
2017-05-08,1.640000,1.650000,1.630000,1.630000,1.548575,651500
2017-05-09,1.630000,1.650000,1.630000,1.640000,1.558075,435800
2017-05-11,1.640000,1.650000,1.630000,1.630000,1.548575,1063000
2017-05-12,1.640000,1.650000,1.630000,1.630000,1.548575,768800
2017-05-15,1.640000,1.650000,1.630000,1.640000,1.558075,1010700
2017-05-16,1.640000,1.640000,1.630000,1.640000,1.558075,326700
2017-05-17,1.640000,1.640000,1.630000,1.640000,1.558075,1556900
2017-05-18,1.630000,1.640000,1.620000,1.620000,1.539075,957300
2017-05-19,1.620000,1.640000,1.620000,1.640000,1.558075,486900
